label,area,eccentricity,solidity,mean_intensity,equivalent_diameter_area,perimeter,axis_major_length,axis_minor_length
1,81.0,0.7586305342597102,0.9642857142857143,0.6315662264823914,10.155412503859614,31.79898987322333,12.59933435234099,8.208731874281753
2,167.0,0.4850180616154712,0.9766081871345029,0.830738365650177,14.581872443920643,44.97056274847714,15.590479309028058,13.633938602540644
3,288.0,0.6463595300330324,0.9829351535836177,0.775313138961792,19.149229459268767,60.284271247461895,21.91313091957319,16.720442008390997
4,173.0,0.3211938647078582,0.9505494505494505,0.6266576051712036,14.841510746523857,47.4558441227157,15.266826564152925,14.457890311036433
5,328.0,0.5984320985722787,0.9534883720930233,0.8821855783462524,20.435815879801165,66.76955262170047,22.85376250372263,18.309829553583075
6,211.0,0.7849656314908817,0.9336283185840708,0.6073971390724182,16.39065416446578,55.94112549695428,20.84697083776065,12.915517940914409
7,79.0,0.73658550759187,0.9518072289156626,0.6230329871177673,10.02925341359355,31.79898987322333,12.220560800398259,8.265308247017138
8,250.0,0.8113751611588113,0.9541984732824428,0.8288784027099609,17.841241161527712,60.2842712474619,23.368658573428686,13.659582588004586
9,556.0,0.882817200812891,0.8335832083958021,0.8303921818733215,26.60678836073137,116.66904755831213,42.19279761967192,19.818662186713507
10,103.0,0.2728543463106919,0.9716981132075472,0.7508852481842041,11.451797811161432,34.72792206135785,11.671993642499634,11.229103984958398
11,311.0,0.3420818156272413,0.9688473520249221,0.8083727359771729,19.899183360445615,63.11269837220809,20.530628783612713,19.29201947239793
12,226.0,0.652779416357268,0.9699570815450643,0.8208572268486023,16.96325844612841,54.04163056034261,19.491726077012245,14.765918894508243
13,337.0,0.6858860144899349,0.9601139601139601,0.8861232399940491,20.71428798138497,67.59797974644665,24.292968093307167,17.67821129197907
14,161.0,0.5326361791755809,0.9877300613496932,0.865814208984375,14.317526556719258,43.79898987322333,15.549646702561983,13.160355097080677
15,65.0,0.77857196795365,0.9701492537313433,0.604464590549469,9.09728368293446,27.899494936611664,11.450094264464992,7.185567671032276
16,257.0,0.533647272583882,0.9553903345724907,0.5814602971076965,18.089294154193436,58.76955262170047,19.68930821804425,16.65138879562437
17,67.0,0.6312031050477697,0.9178082191780822,0.5592039823532104,9.23618154310838,31.45584412271571,10.553678883210965,8.185618941982842
18,324.0,0.36077513674782297,0.9501466275659824,0.5729484558105469,20.310825007719227,69.49747468305833,21.071721856670287,19.65260101579107
19,319.0,0.5179113669108384,0.9696048632218845,0.7700043320655823,20.153496341094687,64.76955262170047,21.90582563835475,18.73899429319084
20,160.0,0.49768281019083316,0.9411764705882353,0.5957353115081787,14.27299292922217,46.2842712474619,15.351631691335795,13.315377554300685
21,178.0,0.6059542351102758,0.956989247311828,0.6044503450393677,15.054455784347004,48.2842712474619,16.889934372491453,13.435934459303969
22,227.0,0.7008446360824716,0.9742489270386266,0.8311997652053833,17.000746355818674,54.04163056034262,20.126106209918994,14.356232386571302
23,77.0,0.4681377134008958,0.927710843373494,0.5576267242431641,9.901487006738307,30.97056274847714,10.551708712653465,9.324075668863822
24,124.0,0.4329665455289838,0.9841269841269841,0.8054395914077759,12.565098628628435,38.62741699796952,13.251609539629294,11.945133225400935
25,172.0,0.15644307319260314,0.9555555555555556,0.6380301117897034,14.798554040663838,46.62741699796952,14.9022110038456,14.718719739378155
26,155.0,0.5716523831476505,0.96875,0.679443359375,14.048207338801282,43.79898987322333,15.504898178092203,12.721705677234866
27,136.0,0.5246698350850021,0.9714285714285714,0.6771049499511719,13.159049284959082,40.384776310850235,14.246628215567906,12.128237222309039
